,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
0,17999,suv,2011,manuell,190,navara,70000,3,diesel,nissan,nein
1,10400,coupe,2009,manuell,160,scirocco,100000,4,benzin,volkswagen,nein
2,18000,limousine,2007,automatik,218,3er,20000,5,benzin,bmw,nein
3,11900,andere,2002,manuell,129,andere,150000,11,diesel,volkswagen,nein
4,13500,bus,2012,automatik,109,b_klasse,150000,7,diesel,mercedes_benz,nein
5,39600,coupe,2014,automatik,306,andere,30000,7,benzin,bmw,nein
6,14999,cabrio,2007,manuell,218,3er,50000,8,benzin,bmw,nein
7,20300,limousine,2010,automatik,204,e_klasse,80000,12,diesel,mercedes_benz,nein
8,23490,limousine,2013,automatik,143,3er,40000,6,diesel,bmw,nein
9,22999,coupe,2012,automatik,303,andere,50000,4,benzin,hyundai,nein
10,14499,limousine,2007,automatik,170,c_klasse,125000,5,diesel,mercedes_benz,nein
11,41900,suv,2014,automatik,204,glk,40000,9,diesel,mercedes_benz,nein
12,11890,bus,2011,manuell,116,c_max,150000,4,diesel,ford,nein
13,19750,cabrio,2006,manuell,305,mustang,50000,7,benzin,ford,nein
14,10500,bus,2006,automatik,150,vito,150000,6,diesel,mercedes_benz,nein
15,11000,limousine,2012,manuell,131,astra,70000,3,diesel,opel,nein
16,16449,kombi,2015,automatik,110,fabia,10000,8,benzin,skoda,nein
17,14300,limousine,2011,manuell,120,a4,60000,5,benzin,audi,nein
18,25000,coupe,1968,automatik,305,mustang,90000,11,benzin,ford,nein
19,13400,limousine,2008,manuell,170,3er,100000,12,benzin,bmw,nein
20,11299,limousine,2006,automatik,250,golf,150000,8,benzin,volkswagen,nein
21,11000,kombi,2006,automatik,231,5er,150000,11,diesel,bmw,nein
22,12999,kombi,2008,automatik,179,a6,150000,8,diesel,audi,nein
23,18400,kombi,2011,automatik,313,5er,150000,11,diesel,bmw,nein
24,12899,kombi,2009,automatik,140,a3,150000,9,diesel,audi,nein
25,10500,limousine,2010,manuell,143,3er,150000,5,diesel,bmw,nein
26,14900,limousine,2007,manuell,265,1er,150000,10,benzin,bmw,nein
27,11800,limousine,2005,automatik,218,3er,150000,11,benzin,bmw,nein
28,22290,kombi,2013,manuell,150,a4,50000,8,diesel,audi,nein
29,15700,limousine,2011,manuell,170,golf,90000,3,diesel,volkswagen,nein
30,14700,limousine,2012,automatik,211,golf,60000,12,benzin,volkswagen,ja
31,25900,coupe,2009,manuell,265,andere,125000,5,benzin,porsche,nein
32,10800,kleinwagen,2010,manuell,105,a1,125000,12,diesel,audi,nein
33,26999,bus,2013,automatik,140,transporter,80000,10,diesel,volkswagen,nein
34,56900,limousine,2015,automatik,326,a6,5000,7,diesel,audi,nein
35,48000,coupe,2014,automatik,265,andere,80000,10,diesel,mercedes_benz,nein
36,27500,suv,2009,automatik,224,m_klasse,150000,12,diesel,mercedes_benz,nein
37,14950,bus,2009,manuell,140,touran,70000,3,benzin,volkswagen,nein
38,14900,cabrio,2004,manuell,170,z_reihe,70000,6,benzin,bmw,nein
39,12000,suv,2011,manuell,101,tiguan,150000,7,diesel,volkswagen,nein
40,18700,coupe,2009,automatik,213,mustang,80000,8,benzin,ford,nein
41,11550,coupe,2009,automatik,140,passat,125000,12,diesel,volkswagen,nein
42,16150,suv,2011,manuell,150,tiguan,30000,4,benzin,volkswagen,nein
43,16500,coupe,2007,manuell,265,z_reihe,150000,3,benzin,bmw,nein
44,11700,kombi,2008,manuell,170,andere,150000,7,diesel,mercedes_benz,nein
45,18880,bus,2014,manuell,116,5_reihe,20000,11,diesel,mazda,nein
46,11200,kombi,2008,automatik,177,5er,150000,7,diesel,bmw,nein
47,13849,limousine,2010,manuell,143,1er,80000,12,diesel,bmw,nein
48,13200,suv,2013,manuell,105,yeti,40000,3,benzin,skoda,nein
49,16500,coupe,1983,manuell,218,6er,150000,10,benzin,bmw,nein
50,10550,limousine,2012,automatik,105,golf,60000,10,benzin,volkswagen,nein
51,17500,limousine,2013,manuell,122,a_klasse,40000,11,benzin,mercedes_benz,nein
52,15500,suv,2008,automatik,239,touareg,150000,4,diesel,volkswagen,nein
53,90500,cabrio,1959,automatik,295,andere,90000,7,benzin,chevrolet,nein
54,11500,kleinwagen,2010,automatik,179,ibiza,50000,11,benzin,seat,nein
55,13499,kombi,2010,automatik,160,golf,60000,4,benzin,volkswagen,nein
56,29980,limousine,2013,manuell,150,a3,50000,9,diesel,audi,nein
57,14500,kombi,2007,manuell,140,a6,100000,3,diesel,audi,nein
58,43900,limousine,2013,automatik,245,x_reihe,40000,4,diesel,bmw,nein
59,21950,cabrio,2010,manuell,160,a5,90000,5,benzin,audi,nein
60,12650,kombi,2006,manuell,258,5er,150000,6,benzin,bmw,nein
61,24900,coupe,2009,automatik,292,e_klasse,125000,6,benzin,mercedes_benz,nein
62,10550,kombi,2008,manuell,143,a4,125000,9,diesel,audi,nein
63,11500,limousine,2010,manuell,170,a6,150000,1,benzin,audi,nein
64,20500,cabrio,2009,automatik,239,a5,150000,4,diesel,audi,nein
65,16500,bus,2012,manuell,140,galaxy,80000,4,diesel,ford,nein
66,19900,bus,2009,manuell,150,viano,90000,5,diesel,mercedes_benz,nein
67,15200,limousine,2007,automatik,320,s_klasse,150000,7,diesel,mercedes_benz,nein
68,27500,coupe,2010,automatik,204,andere,100000,11,diesel,audi,nein
69,13500,bus,2007,automatik,204,viano,150000,6,diesel,mercedes_benz,nein
70,18300,suv,2013,manuell,122,tiguan,40000,1,benzin,volkswagen,nein
71,36500,cabrio,1981,manuell,185,sl,150000,6,benzin,mercedes_benz,nein
72,30900,coupe,2011,automatik,354,a5,60000,11,benzin,audi,nein
73,28900,limousine,2010,automatik,239,q5,125000,10,diesel,audi,nein
74,10490,kombi,2010,manuell,140,a3,150000,12,diesel,audi,nein
75,28499,kombi,2011,automatik,239,a4,90000,9,diesel,audi,nein
76,11500,kombi,2015,automatik,160,insignia,150000,5,diesel,opel,nein
77,11800,kombi,2006,manuell,170,a3,150000,7,diesel,audi,nein
78,12950,bus,2011,manuell,105,touran,100000,5,diesel,volkswagen,nein
79,13980,limousine,2006,automatik,231,5er,150000,6,diesel,bmw,nein
80,13800,kombi,2008,manuell,190,a4,150000,10,diesel,audi,nein
81,15750,kombi,2011,manuell,184,3er,125000,4,diesel,bmw,nein
82,11800,limousine,2001,automatik,260,a8,150000,9,benzin,audi,nein
83,21500,suv,2009,automatik,224,glk,90000,8,diesel,mercedes_benz,nein
84,11900,limousine,2007,automatik,179,a4,150000,7,diesel,audi,nein
85,41900,limousine,2012,automatik,457,c_klasse,60000,7,benzin,mercedes_benz,nein
86,10500,suv,2009,manuell,140,sportage,40000,10,benzin,kia,nein
87,12000,limousine,1969,manuell,140,s_klasse,80000,3,benzin,mercedes_benz,nein
88,21000,coupe,2007,manuell,409,3er,150000,4,benzin,bmw,nein
89,14750,kombi,2009,manuell,160,a4,90000,2,benzin,audi,nein
90,15500,kombi,2012,manuell,120,exeo,40000,12,diesel,seat,nein
91,12999,limousine,2002,automatik,306,s_klasse,90000,12,benzin,mercedes_benz,nein
92,24800,cabrio,1996,automatik,231,sl,50000,8,benzin,mercedes_benz,nein
93,16000,limousine,2010,manuell,170,c_klasse,90000,11,diesel,mercedes_benz,nein
94,13800,limousine,2005,automatik,333,5er,150000,8,benzin,bmw,nein
95,11000,kombi,2012,manuell,105,octavia,80000,3,diesel,skoda,nein
96,13900,cabrio,2008,manuell,150,eos,80000,4,benzin,volkswagen,nein
97,11540,coupe,2010,manuell,122,scirocco,80000,6,benzin,volkswagen,nein
98,13199,cabrio,2012,manuell,120,2_reihe,30000,5,benzin,peugeot,nein
99,12790,cabrio,2001,automatik,163,clk,40000,6,benzin,mercedes_benz,nein
100,21999,limousine,2013,automatik,170,c_klasse,100000,2,diesel,mercedes_benz,nein
101,24999,kombi,2011,automatik,239,a6,80000,2,diesel,audi,nein
102,28300,bus,2012,manuell,114,transporter,40000,8,diesel,volkswagen,nein
103,14900,kombi,2012,manuell,105,golf,50000,2,diesel,volkswagen,nein
104,12800,limousine,2010,manuell,140,a3,80000,1,diesel,audi,nein
105,10999,kleinwagen,2011,manuell,117,juke,60000,3,benzin,nissan,nein
106,18000,cabrio,2012,manuell,122,golf,20000,6,benzin,volkswagen,nein
107,13500,limousine,2007,automatik,218,x_reihe,150000,12,diesel,bmw,nein
108,47999,cabrio,2014,automatik,313,andere,60000,8,diesel,bmw,nein
109,12990,limousine,2007,automatik,190,a4,150000,12,diesel,audi,nein
110,15900,bus,2011,automatik,140,galaxy,125000,4,diesel,ford,nein
111,13499,limousine,2010,manuell,156,c_klasse,100000,10,benzin,mercedes_benz,nein
112,34900,limousine,1968,manuell,220,escort,5000,11,benzin,ford,nein
113,12800,kombi,1999,manuell,265,andere,100000,3,benzin,audi,nein
114,14900,kombi,2009,automatik,170,c_klasse,150000,2,diesel,mercedes_benz,nein
115,10200,limousine,2006,manuell,150,x_reihe,150000,4,diesel,bmw,nein
116,16500,bus,2012,automatik,179,transporter,150000,5,diesel,volkswagen,nein
117,43900,cabrio,2014,automatik,265,boxster,10000,2,benzin,porsche,nein
118,21500,coupe,2009,automatik,239,a5,150000,12,diesel,audi,nein
119,11500,limousine,2008,automatik,197,5er,150000,7,diesel,bmw,nein
120,14990,kombi,2013,manuell,140,passat,90000,10,diesel,volkswagen,nein
121,20500,limousine,2006,automatik,272,s_klasse,150000,1,benzin,mercedes_benz,nein
122,12999,bus,2011,manuell,105,golf,70000,10,diesel,volkswagen,nein
123,25950,suv,2014,manuell,163,kuga,30000,7,diesel,ford,nein
124,12900,kombi,2010,manuell,102,caddy,70000,12,diesel,volkswagen,nein
125,14800,limousine,2012,manuell,117,qashqai,70000,8,benzin,nissan,nein
126,44900,bus,2015,manuell,140,transporter,10000,5,diesel,volkswagen,nein
127,10450,cabrio,2001,manuell,220,boxster,150000,3,benzin,porsche,nein
128,17000,limousine,2005,manuell,231,5er,150000,10,diesel,bmw,nein
129,11599,kombi,2010,manuell,143,3er,150000,4,diesel,bmw,nein
130,30600,cabrio,2010,automatik,231,e_klasse,80000,5,diesel,mercedes_benz,nein
131,11900,limousine,2008,manuell,170,c_klasse,125000,9,diesel,mercedes_benz,nein
132,139997,coupe,2010,manuell,435,911,20000,3,benzin,porsche,nein
133,26500,coupe,2010,automatik,306,1er,40000,1,benzin,bmw,nein
134,14500,cabrio,2007,manuell,163,slk,60000,2,benzin,mercedes_benz,nein
135,13990,kombi,2007,manuell,209,a6,100000,4,benzin,audi,nein
136,46950,suv,2013,automatik,250,grand,30000,10,diesel,jeep,nein
137,12000,limousine,2007,automatik,177,3er,125000,12,diesel,bmw,nein
138,16999,kleinwagen,2015,manuell,102,one,10000,8,benzin,mini,nein
139,10100,suv,2008,automatik,239,touareg,100000,12,diesel,volkswagen,nein
140,13500,bus,2010,manuell,193,b_klasse,60000,5,benzin,mercedes_benz,nein
141,14000,limousine,2010,manuell,131,3er,150000,1,diesel,bmw,nein
142,14430,kombi,2011,manuell,146,c_klasse,150000,2,diesel,mercedes_benz,nein
143,14900,kombi,2013,manuell,105,octavia,40000,9,diesel,skoda,nein
144,10900,kleinwagen,2010,automatik,179,ibiza,80000,11,benzin,seat,nein
145,28250,limousine,2013,manuell,320,m_reihe,40000,2,benzin,bmw,nein
146,12800,kleinwagen,2014,manuell,101,fiesta,40000,11,benzin,ford,nein
147,18500,kombi,2013,manuell,150,octavia,50000,11,diesel,skoda,nein
148,12950,kombi,2011,automatik,160,golf,125000,4,benzin,volkswagen,nein
149,21800,coupe,2012,manuell,160,tt,50000,10,benzin,audi,nein
